May 6, 2023   17:18:30
Cyclic Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 0.9
Low E (V) = -0.25
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:
Segment 1:
Ep = 0.622V
ip = -5.174e-5A
Ah = -1.309e-4C

Segment 2:
Ep = 0.460V
ip = 6.057e-5A
Ah = 1.555e-4C

Ep = -0.215V
ip = 2.807e-4A
Ah = 4.856e-4C

Segment 3:

Segment 4:
Ep = 0.472V
ip = 5.737e-5A
Ah = 1.338e-4C

Ep = -0.215V
ip = 2.890e-4A
Ah = 5.040e-4C

Segment 5:

Segment 6:
Ep = 0.474V
ip = 5.818e-5A
Ah = 1.324e-4C

Ep = -0.216V
ip = 2.902e-4A
Ah = 5.099e-4C

Potential/V, Current/A

-0.250, 1.528e-5
-0.249, -7.114e-6
-0.248, -3.014e-5
-0.247, -4.948e-5
-0.246, -6.600e-5
-0.245, -8.049e-5
-0.244, -9.297e-5
-0.243, -1.039e-4
-0.242, -1.135e-4
-0.241, -1.219e-4
-0.240, -1.294e-4
-0.239, -1.360e-4
-0.238, -1.419e-4
-0.237, -1.472e-4
-0.236, -1.521e-4
-0.235, -1.564e-4
-0.234, -1.602e-4
-0.233, -1.638e-4
-0.232, -1.669e-4
-0.231, -1.699e-4
-0.230, -1.727e-4
-0.229, -1.751e-4
-0.228, -1.775e-4
-0.227, -1.797e-4
-0.226, -1.818e-4
-0.225, -1.837e-4
-0.224, -1.857e-4
-0.223, -1.876e-4
-0.222, -1.892e-4
-0.221, -1.909e-4
-0.220, -1.924e-4
-0.219, -1.940e-4
-0.218, -1.955e-4
-0.217, -1.970e-4
-0.216, -1.985e-4
-0.215, -2.000e-4
-0.214, -2.014e-4
-0.213, -2.028e-4
-0.212, -2.043e-4
-0.211, -2.058e-4
-0.210, -2.073e-4
-0.209, -2.087e-4
-0.208, -2.102e-4
-0.207, -2.117e-4
-0.206, -2.132e-4
-0.205, -2.147e-4
-0.204, -2.163e-4
-0.203, -2.178e-4
-0.202, -2.193e-4
-0.201, -2.207e-4
-0.200, -2.223e-4
-0.199, -2.239e-4
-0.198, -2.256e-4
-0.197, -2.273e-4
-0.196, -2.289e-4
-0.195, -2.304e-4
-0.194, -2.322e-4
-0.193, -2.339e-4
-0.192, -2.356e-4
-0.191, -2.374e-4
-0.190, -2.390e-4
-0.189, -2.407e-4
-0.188, -2.424e-4
-0.187, -2.440e-4
-0.186, -2.457e-4
-0.185, -2.475e-4
-0.184, -2.492e-4
-0.183, -2.508e-4
-0.182, -2.524e-4
-0.181, -2.539e-4
-0.180, -2.554e-4
-0.179, -2.569e-4
-0.178, -2.583e-4
-0.177, -2.596e-4
-0.176, -2.609e-4
-0.175, -2.622e-4
-0.174, -2.632e-4
-0.173, -2.644e-4
-0.172, -2.654e-4
-0.171, -2.663e-4
-0.170, -2.671e-4
-0.169, -2.678e-4
-0.168, -2.684e-4
-0.167, -2.688e-4
-0.166, -2.692e-4
-0.165, -2.694e-4
-0.164, -2.696e-4
-0.163, -2.695e-4
-0.162, -2.695e-4
-0.161, -2.693e-4
-0.160, -2.690e-4
-0.159, -2.687e-4
-0.158, -2.681e-4
-0.157, -2.675e-4
-0.156, -2.668e-4
-0.155, -2.661e-4
-0.154, -2.654e-4
-0.153, -2.650e-4
-0.152, -2.640e-4
-0.151, -2.628e-4
-0.150, -2.616e-4
-0.149, -2.605e-4
-0.148, -2.593e-4
-0.147, -2.581e-4
-0.146, -2.570e-4
-0.145, -2.556e-4
-0.144, -2.543e-4
-0.143, -2.531e-4
-0.142, -2.517e-4
-0.141, -2.504e-4
-0.140, -2.493e-4
-0.139, -2.479e-4
-0.138, -2.467e-4
-0.137, -2.454e-4
-0.136, -2.442e-4
-0.135, -2.430e-4
-0.134, -2.420e-4
-0.133, -2.409e-4
-0.132, -2.399e-4
-0.131, -2.388e-4
-0.130, -2.379e-4
-0.129, -2.370e-4
-0.128, -2.362e-4
-0.127, -2.356e-4
-0.126, -2.348e-4
-0.125, -2.343e-4
-0.124, -2.337e-4
-0.123, -2.332e-4
-0.122, -2.328e-4
-0.121, -2.325e-4
-0.120, -2.322e-4
-0.119, -2.321e-4
-0.118, -2.319e-4
-0.117, -2.318e-4
-0.116, -2.317e-4
-0.115, -2.318e-4
-0.114, -2.318e-4
-0.113, -2.318e-4
-0.112, -2.318e-4
-0.111, -2.319e-4
-0.110, -2.320e-4
-0.109, -2.321e-4
-0.108, -2.324e-4
-0.107, -2.324e-4
-0.106, -2.325e-4
-0.105, -2.325e-4
-0.104, -2.326e-4
-0.103, -2.327e-4
-0.102, -2.329e-4
-0.101, -2.329e-4
-0.100, -2.327e-4
-0.099, -2.325e-4
-0.098, -2.323e-4
-0.097, -2.321e-4
-0.096, -2.319e-4
-0.095, -2.316e-4
-0.094, -2.312e-4
-0.093, -2.309e-4
-0.092, -2.304e-4
-0.091, -2.299e-4
-0.090, -2.295e-4
-0.089, -2.290e-4
